paper_id,publish_year,paper_title,con_id
08B158A0,2004,Trends in Spam Products and Methods,42B837D2
07F8C04F,2004,A Multifaceted Approach to Spam Reduction,42B837D2
0461EF5A,2004,On Attacking Statistical Spam Filters,42B837D2
0166595D,2004,Multiple Email Addresses: A Socio-technical Investigation,42B837D2
0EBCF72B,2004,Beyond Identity: Addressing Problems that Persist in an Electronic Mail System with Reliable Sender Identication,42B837D2
5FA2B0C8,2001,Computing Linking Numbers of a Filtration,42BBC5C1
5DD1D0F9,2001,Pattern Matching and Pattern Discovery Algorithms for Protein Topologies,42BBC5C1
5B131D8D,2001,Finding a Maximum Compatible Tree for a Bounded Number of Trees with Bounded Degree Is Solvable in Polynomial Time,42BBC5C1
6AF596CB,2001,On the Practical Solution of the Reversal Median Problem,42BBC5C1
59C6D482,2001,Comparing Assemblies Using Fragments and Mate-Pairs,42BBC5C1
81353627,2007,A Study of Different Kinds of Degradation in Printed Gurmukhi Script,42BC7E41
80D1C59A,2007,NLPBench: A Tool for Studying the Architectural Characteristics of Natural Langauge and Speech Applications,42BC7E41
804B54F9,2007,A Low-Cost Pipelineed Multi-Lingual E-Dictionary Using a Pipelined CTAM,42BC7E41
7EADC496,2007,A Fuzzy Technique for Segmentation of Handwritten Bangla Word Images,42BC7E41
806F58F5,2007,Unsupervised Change Detection in Remote-Sensing Images Using Modified Self-Organizing Feature Map Neural Network,42BC7E41
5CF3168F,2004,Distributing Security-Mediated PKI,42BD0758
6BF5836F,2004,A Probabilistic Model for Evaluating the Operational Cost of PKI-based Financial Transactions,42BD0758
58424AAF,2004,CERVANTES – A Certificate Validation Test-Bed,42BD0758
5E37DB58,2004,A Socially Inspired Reputation Model,42BD0758
5CDF2D9E,2004,Trustworthy Accounting for Wireless LAN Sharing Communities,42BD0758
6D76C640,2002,Advanced P2P Architecture Using Autonomous Agents,42BD758D
074767D2,2002,Efficient Hierarchical Clustering of Large Data Sets Using P-trees,42BD758D
004125A8,2002,Block Based Fetch Engine for Superscalar Processors,42BD758D
0AF21C62,2005,Mozart to Metallica: A Comparison of Musical Sequences and Similarities,42BD758D
06E569F3,2005,Constructing Comprehensive Behaviors: A Simulation Study,42BD758D
5909FF93,1996,Evolving state and memory in genetic programming,42C0465A
5FDB63B1,1996,Knowledge extraction using neural network by an artificial life approach,42C0465A
5A48ECA1,1996,Hybrid evolutionary learning of fuzzy logic and genetic algorithm,42C0465A
5D0B2C6D,1996,Fuzzy identification of unknown systems based on GA,42C0465A
5CC642AA,1996,Selection of input variables of fuzzy model using genetic algorithm with quick fuzzy inference,42C0465A
5D660AC2,1985,An experiment in partial evaluation: the generation of a compiler generator,42C509C4
58EDED55,1985,A procedure for automatically proving the termination of a set of rewrite rules,42C509C4
5DCD86FD,1985,Two applications of equational theories to database theory,42C509C4
1359B949,1985,Unification problems with one-sided distributivity,42C509C4
0C1073AA,1985,Thue Systems as Rewriting Systems,42C509C4
7B22BEF9,2000,Background-Foreground Segmentation Based on Dominant Motion Estimation and Static Segmentation,42C62517
7BD7ABC0,2000,New Methods and Tools for the World Wide Web Search,42C62517
7E199416,2001,Training Artificial Neural Networks: Backpropagation via Nonlinear Optimization,42C62517
79440E38,2001,ATMOL: A Domain-Specific Language for Atmospheric Modeling,42C62517
7FF0CA76,2003,A New Approach in CAD System for Designing Shoes,42C62517
79774210,2008,Finding high-quality content in social media,42C7B402
7EDC9174,2008,Crawl ordering by search impact,42C7B402
7F30E04D,2008,Entropy of search logs: how hard is search? with personalization? with backoff?,42C7B402
7DFD745A,2008,Fast learning of document ranking functions with the committee perceptron,42C7B402
7E270AD8,2008,Disorder inequality: a combinatorial approach to nearest neighbor search,42C7B402
8025D1AE,2002,Study of data mining based machinery fault diagnosis,42CB1F93
6CD819A1,2002,Theoretical study on diversity of population in parallel genetic algorithms,42CB1F93
801DA8DE,2002,Edge enhancement using fuzzy reasoning technique,42CB1F93
81546715,2002,Multi-agent learning methods in an uncertain environment,42CB1F93
7F97C100,2002,Document segmentation using wavelet-domain multi-state hidden Markov models,42CB1F93
647E5E82,2005,Beyond basic region caching: specializing cache structures for high performance and energy conservation,42CCC198
68CE8B79,2005,Exploiting a computation reuse cache to reduce energy in network processors,42CCC198
0A070D29,2005,Using EEMBC Benchmarks to Understand Processor Behavior in Embedded Applications,42CCC198
056E2B6C,2005,Keynote 1: Using EEMBC Benchmarks to Understand Processor Behavior in Embedded Applications,42CCC198
8167F673,2005,Garbage Collection Hints,42CCC198
7895AD02,1995,Analysis of glitch power dissipation in CMOS ICs,42CCF5DE
79EA14E7,1995,2nd order adiabatic computation with 2N-2P and 2N-2N2P logic circuits,42CCF5DE
77A4D418,1995,Ultra-low-power analog associative memory core using flash-EEPROM-based programmable capacitors,42CCF5DE
7C66E4CE,1995,Transistor reordering for low power CMOS gates using an SP-BDD representation,42CCF5DE
7529EF0B,1995,Reducing the frequency of tag compares for low power I-cache design,42CCF5DE
62CC7ADA,1995,A new expandable 2D systolic array for DFT computation based on symbiosis of 1D arrays,42CD4D27
72817BE4,1995,A homomorphism of the de Bruijn graphs and its applications,42CD4D27
6F41003C,1995,Performance implications of virtualisation of massively parallel algorithm implementation,42CD4D27
721D1FF8,1995,Vertex-disjoint routings in star graphs,42CD4D27
6D7EDA87,1995,Parallel object-oriented programming with multiple inheritance: language design issues,42CD4D27
7EE16306,2003,Compact Mapping in Plane-Parallel Environments Using Stereo Vision,42CF1BB8
5FBC6B8E,2003,Segmentation and Morphometry of Histological Sections Using Deformable Models: A New Tool for Evaluating Testicular Histopathology,42CF1BB8
089B84AD,2003,Conditions of Generating Descriptive Image Algebras by a Set of Image Processing Operations,42CF1BB8
5F749F4B,2003,Solving the Global Localization Problem for Indoor Mobile Robots,42CF1BB8
